GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
metalog,io.github.jonloucks.metalog,Stub,10,0,0,0,4,0,2,0,2,0
metalog,io.github.jonloucks.metalog.api,Meta.Builder,0,6,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.api,GlobalMetalog.new Metalog.Config() {...},0,6,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.api,MetalogFactory,0,4,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.api,Entity.Builder,0,6,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.api,Meta,14,3,0,0,6,1,7,1,7,1
metalog,io.github.jonloucks.metalog.api,Metalog.Config.new Metalog.Config() {...},0,3,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.api,MetalogFactoryFinder,29,68,3,5,9,18,4,5,1,4
metalog,io.github.jonloucks.metalog.api,GlobalMetalog,29,45,0,0,9,10,6,3,6,3
metalog,io.github.jonloucks.metalog.api,Metalog,0,4,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.api,Entities.Builder,0,6,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.api,Metalog.Config,3,21,0,0,1,9,1,9,1,9
metalog,io.github.jonloucks.metalog.api,Entity,6,2,0,0,3,1,3,1,3,1
metalog,io.github.jonloucks.metalog.api,Publisher,7,0,0,0,3,0,2,0,2,0
metalog,io.github.jonloucks.metalog.api,SystemSubscriber,0,4,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.impl,EntityImpl,0,144,0,8,0,38,0,20,0,16
metalog,io.github.jonloucks.metalog.impl,EntitiesImpl,13,259,4,26,2,65,6,29,2,18
metalog,io.github.jonloucks.metalog.impl,DispatcherImpl,31,70,8,6,9,21,8,4,1,4
metalog,io.github.jonloucks.metalog.impl,Internal,15,98,5,9,5,19,7,15,2,13
metalog,io.github.jonloucks.metalog.impl,MetaImpl,54,191,3,3,9,46,8,28,5,28
metalog,io.github.jonloucks.metalog.impl,MetalogImpl,19,268,8,10,4,48,10,21,2,20
metalog,io.github.jonloucks.metalog.impl,IdempotentImpl,1,29,1,1,0,6,1,4,0,4
metalog,io.github.jonloucks.metalog.impl,SystemSubscriberImpl,48,33,10,1,14,8,10,3,4,3
metalog,io.github.jonloucks.metalog.impl,Dispatcher,0,4,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.impl,MetalogFactoryImpl,0,12,0,0,0,3,0,2,0,2
metalog,io.github.jonloucks.metalog.impl,FiltersImpl,37,14,3,1,4,4,6,2,4,2
metalog,io.github.jonloucks.metalog.test,EntityTests,25,431,1,1,8,128,6,39,5,39
metalog,io.github.jonloucks.metalog.test,ToolsTests,0,8,0,0,0,4,0,3,0,3
metalog,io.github.jonloucks.metalog.test,EntitiesTests.EntitiesTestsTools,0,17,0,0,0,5,0,1,0,1
metalog,io.github.jonloucks.metalog.test,EntitiesTests.EntitiesTestsTools.ScenarioConfig,0,2,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.test,Tools,39,87,9,5,7,14,10,12,3,12
metalog,io.github.jonloucks.metalog.test,EntitiesTests,67,399,0,9,22,120,14,46,14,41
metalog,io.github.jonloucks.metalog.test,EntityTests.EntityTestsTools,0,19,0,0,0,6,0,2,0,2
metalog,io.github.jonloucks.metalog.test,MetaTests,4,474,0,0,0,147,2,14,2,14
metalog,io.github.jonloucks.metalog.test,MetalogTests.SmokeTestsTools.ScenarioConfig,0,2,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.test,MetaTests.MetaTestsTools.ScenarioConfig,0,2,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.test,MetaTests.MetaTestsTools,0,19,0,0,0,6,0,2,0,2
metalog,io.github.jonloucks.metalog.test,MetalogTests.SmokeTestsTools,0,13,0,0,0,5,0,1,0,1
metalog,io.github.jonloucks.metalog.test,MetalogTests,5,185,0,0,2,42,1,13,1,13
metalog,io.github.jonloucks.metalog.test,EntityTests.EntityTestsTools.ScenarioConfig,0,2,0,0,0,1,0,1,0,1
metalog,io.github.jonloucks.metalog.test,Tools.new Entity() {...},2,24,0,0,1,4,1,4,1,4
metalog,io.github.jonloucks.metalog.test,Tools.new Metalog.Config() {...},0,3,0,0,0,1,0,1,0,1
